pageid,tags,timestamp,userid,revid,content,user,parentid,minor,size
47512,[],2011-05-17T04:08:29Z,36352,429503550,,Alan Liefting,429487894,,40784
47512,[],2011-05-17T01:26:53Z,2303783,429487894,,Giachen,429095780,,40824
47512,[],2011-05-14T15:47:46Z,5485186,429095780,,Awickert,429021123,,40617
47512,[],2011-05-14T02:45:35Z,7710634,429021123,,Short Brigade Harvester Boris,429021073,,40570
47512,[],2011-05-14T02:45:02Z,7710634,429021073,,Short Brigade Harvester Boris,428883080,,40639
47512,[],2011-05-13T06:44:11Z,5485186,428883080,,Awickert,428882803,,40570
47512,[],2011-05-13T06:40:51Z,5485186,428882803,,Awickert,428882525,,40590
47512,[],2011-05-13T06:37:36Z,5485186,428882525,,Awickert,428882295,,40809
47512,[],2011-05-13T06:35:13Z,5485186,428882295,,Awickert,428882255,,40813
47512,[],2011-05-13T06:34:44Z,5485186,428882255,,Awickert,428881892,,40814
47512,[],2011-05-13T06:30:44Z,5485186,428881892,,Awickert,428881826,,40804
47512,[],2011-05-13T06:29:53Z,5485186,428881826,,Awickert,428881335,,40828
47512,[],2011-05-13T06:24:29Z,5485186,428881335,,Awickert,428867114,,40850
47512,[],2011-05-13T03:36:19Z,12963045,428867114,,Sciencenews,428705483,,42598
47512,[],2011-05-12T05:50:35Z,12963045,428705483,,Sciencenews,428705371,,42121
47512,[],2011-05-12T05:49:13Z,12963045,428705371,,Sciencenews,426892115,,42104
47512,[],2011-05-01T14:10:37Z,203434,426892115,,Rjwilmsi,426270787,,40373
47512,[],2011-04-27T20:49:38Z,12963045,426270787,,Sciencenews,421871766,,40582
47512,[],2011-04-01T20:02:30Z,7320905,421871766,,Luckas-bot,421696820,,39395
47512,[],2011-03-31T19:34:34Z,7320905,421696820,,Luckas-bot,420927007,,39338
47512,[],2011-03-27T04:21:33Z,9178686,420927007,,Tranletuhan,420926658,,39288
47512,[],2011-03-27T04:18:03Z,9178686,420926658,,Tranletuhan,420909565,,39290
47512,[],2011-03-27T01:45:38Z,13871274,420909565,,Violetbonmua,420791206,,39295
47512,[],2011-03-26T10:26:37Z,10996774,420791206,,RjwilmsiBot,420150452,,39333
47512,[],2011-03-22T14:24:07Z,9097655,420150452,,Originalwana,419339215,,39331
47512,[],2011-03-17T18:53:27Z,1007941,419339215,,IanOfNorwich,419196674,,39155
47512,[],2011-03-16T22:26:31Z,14141722,419196674,,Dannerswork,419196194,,39165
47512,[],2011-03-16T22:23:35Z,14141722,419196194,,Dannerswork,419113198,,39181
47512,[],2011-03-16T12:36:06Z,12792828,419113198,,Sailsbystars,419098183,,39036
47512,[],2011-03-16T09:58:15Z,6186494,419098183,,Aquamat,417170375,,39101
47512,[],2011-03-04T23:48:47Z,14001366,417170375,,OKIsItJustMe,416748543,,39036
47512,[],2011-03-02T15:50:43Z,14001366,416748543,,OKIsItJustMe,416592386,,38131
47512,[],2011-03-01T18:20:39Z,14001366,416592386,,OKIsItJustMe,416589458,,38131
47512,[],2011-03-01T18:00:32Z,14001366,416589458,,OKIsItJustMe,416400968,,37329
47512,[],2011-02-28T17:13:07Z,14001366,416400968,,OKIsItJustMe,416400791,,36769
47512,[],2011-02-28T17:11:58Z,14001366,416400791,,OKIsItJustMe,416397488,,36769
47512,[],2011-02-28T16:50:00Z,14001366,416397488,,OKIsItJustMe,416312280,,36251
47512,[],2011-02-28T02:44:26Z,12792828,416312280,,Sailsbystars,415464290,,36012
47512,[],2011-02-23T06:20:13Z,1614547,415464290,,Prolog,415463835,,36018
47512,[],2011-02-23T06:15:23Z,13428484,415463835,,Samwell Pinkus,412763012,,35416
47512,[],2011-02-08T18:59:01Z,11340674,412763012,,WikitanvirBot,410803270,,36018
47512,[],2011-01-29T18:54:35Z,5718152,410803270,,Arjayay,408750529,,35994
47512,[],2011-01-19T08:25:29Z,5485186,408750529,,Awickert,408742500,,35995
47512,[],2011-01-19T07:00:44Z,12536405,408742500,,Someone65,408742448,,36814
47512,[],2011-01-19T07:00:09Z,12536405,408742448,,Someone65,408742350,,36810
47512,[],2011-01-19T06:59:02Z,12536405,408742350,,Someone65,408698272,,36829
47512,[],2011-01-19T00:58:38Z,5485186,408698272,,Awickert,408680405,,35995
47512,[],2011-01-18T23:08:22Z,5485186,408680405,,Awickert,408679840,,35951
47512,[],2011-01-18T23:04:55Z,5485186,408679840,,Awickert,406770321,,35678
47512,[],2011-01-08T23:37:01Z,5513235,406770321,,Gnome de plume,406766338,,35530
47512,[],2011-01-08T23:12:58Z,13627509,406766338,,James childs,402597287,,35730
47512,[],2010-12-15T22:50:18Z,203434,402597287,,Rjwilmsi,402596889,,35530
47512,[],2010-12-15T22:47:38Z,203434,402596889,,Rjwilmsi,401791797,,35545
47512,[],2010-12-11T15:55:57Z,203434,401791797,,Rjwilmsi,399198891,,35540
47512,[],2010-11-27T20:39:13Z,7903804,399198891,,Citation bot,397468739,,35575
47512,[],2010-11-18T09:47:50Z,8066546,397468739,,Xqbot,395765148,,35592
47512,[],2010-11-09T16:28:45Z,10254013,395765148,,FoxBot,394312459,,35566
47512,[],2010-11-02T03:30:41Z,9632215,394312459,,Winterst,393396256,,35495
47512,[],2010-10-28T10:24:48Z,11320073,393396256,,Acather96,393184323,,35457
47512,[],2010-10-27T11:16:08Z,159678,393184323,,Woohookitty,392875581,,35427
47512,[],2010-10-25T22:28:24Z,1640548,392875581,,Smartse,392852232,,35431
47512,[],2010-10-25T20:15:08Z,13281011,392852232,,Turtle89,392657925,,35541
47512,[],2010-10-24T20:38:56Z,9599916,392657925,,Wikispan,392646786,,35431
47512,[],2010-10-24T19:30:02Z,11066507,392646786,,Jackehammond,392578783,,35838
47512,[],2010-10-24T11:18:46Z,9599916,392578783,,Wikispan,392571047,,35431
47512,[],2010-10-24T09:59:39Z,11066507,392571047,,Jackehammond,392570536,,35838
47512,[],2010-10-24T09:53:55Z,11066507,392570536,,Jackehammond,391113796,,35788
47512,[],2010-10-16T20:13:15Z,3938795,391113796,,Kbrose,391005936,,35431
47512,[],2010-10-16T04:38:33Z,508734,391005936,,Hmains,387975290,,35566
47512,[],2010-09-30T20:09:13Z,271168,387975290,,Wavelength,385198908,,35566
